STATION,DATE,ROUTE,MP,LANE,H0000,H0100,H0200,H0300,H0400,H0500,H0600,H0700,H0800,H0900,H1000,H1100,H1200,H1300,H1400,H1500,H1600,H1700,H1800,H1900,H2000,H2100,H2200,H2300,TOTAL
-648,2023-01-03,194,1.751,NLane1,,,,,,,,,,,,23.0,420.0,444.0,494.0,577.0,579.0,543.0,459.0,275.0,232.0,172.0,106.0,65.0,4389
-648,2023-01-03,194,1.751,NLane2,,,,,,,,,,,,33.0,711.0,650.0,728.0,780.0,848.0,753.0,657.0,438.0,343.0,228.0,142.0,99.0,6410
-648,2023-01-03,194,1.751,PLane1,,,,,,,,,,,,49.0,166.0,167.0,223.0,295.0,305.0,780.0,830.0,604.0,474.0,401.0,293.0,150.0,4737
-648,2023-01-03,194,1.751,PLane2,,,,,,,,,,,,42.0,153.0,161.0,249.0,300.0,352.0,906.0,930.0,672.0,556.0,443.0,393.0,173.0,5330
-648,2023-01-04,194,1.751,NLane1,43.0,23.0,21.0,26.0,76.0,247.0,552.0,1092.0,853.0,651.0,476.0,498.0,463.0,449.0,473.0,636.0,638.0,555.0,444.0,317.0,238.0,178.0,145.0,69.0,9163
-648,2023-01-04,194,1.751,NLane2,48.0,26.0,31.0,46.0,151.0,500.0,909.0,1177.0,819.0,825.0,729.0,785.0,783.0,721.0,752.0,907.0,907.0,796.0,642.0,477.0,365.0,278.0,214.0,100.0,12988
-648,2023-01-04,194,1.751,PLane1,96.0,46.0,51.0,24.0,54.0,178.0,432.0,595.0,527.0,559.0,458.0,474.0,568.0,578.0,710.0,807.0,963.0,945.0,889.0,624.0,534.0,403.0,276.0,141.0,10932
-648,2023-01-04,194,1.751,PLane2,109.0,59.0,41.0,19.0,39.0,96.0,249.0,483.0,510.0,503.0,411.0,478.0,601.0,659.0,741.0,915.0,988.0,1015.0,995.0,791.0,608.0,431.0,315.0,180.0,11236
-648,2023-01-05,194,1.751,NLane1,41.0,27.0,21.0,27.0,64.0,270.0,564.0,1033.0,1085.0,721.0,478.0,469.0,441.0,421.0,506.0,600.0,604.0,576.0,442.0,346.0,224.0,198.0,119.0,71.0,9348
-648,2023-01-05,194,1.751,NLane2,61.0,33.0,22.0,38.0,150.0,495.0,947.0,1202.0,1186.0,1004.0,811.0,841.0,744.0,658.0,762.0,884.0,860.0,789.0,702.0,505.0,334.0,258.0,163.0,88.0,13537
