STATION,DATE,ROUTE,MP,LANE,H0000,H0100,H0200,H0300,H0400,H0500,H0600,H0700,H0800,H0900,H1000,H1100,H1200,H1300,H1400,H1500,H1600,H1700,H1800,H1900,H2000,H2100,H2200,H2300,TOTAL
-645,2023-01-19,129,2.64,NLane1,30.0,20.0,14.0,13.0,8.0,,,,,,,,,,,,,,,,,,,,85
-645,2023-01-19,129,2.64,NLane2,14.0,8.0,5.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,33
-645,2023-01-19,129,2.64,PLane1,29.0,15.0,12.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,69
-645,2023-01-19,129,2.64,PLane2,20.0,8.0,11.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,48
-645,2023-01-19,129,2.64,PLane3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0
-645,2023-09-18,129,2.64,NLane1,,,,,,,,,,,,,,,,,,145.0,420.0,308.0,266.0,179.0,110.0,53.0,1481
-645,2023-09-18,129,2.64,NLane2,,,,,,,,,,,,,,,,,,90.0,300.0,183.0,160.0,102.0,69.0,26.0,930
-645,2023-09-18,129,2.64,PLane1,,,,,,,,,,,,,,,,,,117.0,337.0,283.0,185.0,177.0,66.0,29.0,1194
-645,2023-09-18,129,2.64,PLane2,,,,,,,,,,,,,,,,,,111.0,364.0,273.0,201.0,132.0,73.0,43.0,1197
-645,2023-09-18,129,2.64,PLane3,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,1.0,0.0,0.0,5
