STATION,DATE,ROUTE,MP,LANE,H0000,H0100,H0200,H0300,H0400,H0500,H0600,H0700,H0800,H0900,H1000,H1100,H1200,H1300,H1400,H1500,H1600,H1700,H1800,H1900,H2000,H2100,H2200,H2300,TOTAL
-626,2023-01-01,73,35.153,NLane1,260.0,204.0,89.0,49.0,21.0,20.0,26.0,43.0,68.0,100.0,141.0,194.0,225.0,262.0,290.0,313.0,328.0,273.0,243.0,219.0,133.0,88.0,73.0,38.0,3700
-626,2023-01-01,73,35.153,NLane2,277.0,242.0,96.0,60.0,31.0,24.0,36.0,53.0,68.0,101.0,137.0,240.0,247.0,319.0,365.0,358.0,390.0,351.0,335.0,291.0,248.0,210.0,137.0,102.0,4718
-626,2023-01-01,73,35.153,PLane1,153.0,75.0,39.0,16.0,16.0,29.0,21.0,38.0,71.0,97.0,147.0,159.0,169.0,191.0,186.0,191.0,192.0,174.0,126.0,117.0,111.0,78.0,57.0,20.0,2473
-626,2023-01-01,73,35.153,PLane2,405.0,208.0,97.0,42.0,50.0,117.0,105.0,91.0,149.0,228.0,346.0,344.0,369.0,400.0,412.0,467.0,432.0,368.0,287.0,202.0,172.0,152.0,74.0,49.0,5566
-626,2023-01-02,73,35.153,NLane1,27.0,19.0,9.0,3.0,11.0,20.0,46.0,108.0,150.0,192.0,251.0,360.0,407.0,459.0,632.0,625.0,561.0,564.0,519.0,513.0,360.0,241.0,163.0,73.0,6313
-626,2023-01-02,73,35.153,NLane2,68.0,33.0,24.0,19.0,19.0,43.0,64.0,118.0,160.0,226.0,329.0,455.0,541.0,639.0,753.0,757.0,710.0,658.0,554.0,654.0,437.0,290.0,217.0,128.0,7896
-626,2023-01-02,73,35.153,PLane1,13.0,13.0,9.0,23.0,24.0,70.0,93.0,151.0,201.0,246.0,307.0,370.0,404.0,401.0,358.0,337.0,343.0,273.0,247.0,181.0,115.0,76.0,59.0,24.0,4338
-626,2023-01-02,73,35.153,PLane2,37.0,27.0,20.0,51.0,110.0,221.0,278.0,351.0,441.0,531.0,660.0,788.0,778.0,772.0,752.0,681.0,637.0,560.0,454.0,342.0,227.0,137.0,98.0,47.0,9000
-626,2023-01-03,73,35.153,NLane1,52.0,10.0,3.0,2.0,23.0,122.0,277.0,283.0,307.0,259.0,275.0,352.0,428.0,478.0,542.0,792.0,1043.0,1072.0,980.0,560.0,462.0,316.0,252.0,119.0,9009
-626,2023-01-03,73,35.153,NLane2,64.0,50.0,37.0,25.0,45.0,145.0,293.0,355.0,402.0,388.0,439.0,498.0,596.0,626.0,739.0,1024.0,1289.0,1289.0,1108.0,672.0,568.0,393.0,308.0,149.0,11502
-626,2023-01-03,73,35.153,PLane1,16.0,11.0,10.0,13.0,65.0,186.0,390.0,747.0,589.0,374.0,302.0,324.0,302.0,286.0,372.0,415.0,446.0,422.0,293.0,227.0,128.0,91.0,47.0,29.0,6085
-626,2023-01-03,73,35.153,PLane2,28.0,19.0,21.0,86.0,246.0,577.0,1014.0,1365.0,986.0,837.0,655.0,655.0,675.0,671.0,847.0,874.0,889.0,869.0,625.0,419.0,290.0,182.0,81.0,67.0,12978
-626,2023-01-04,73,35.153,NLane1,62.0,32.0,20.0,19.0,35.0,119.0,327.0,317.0,368.0,300.0,295.0,372.0,459.0,500.0,556.0,814.0,1020.0,1076.0,1039.0,653.0,450.0,331.0,234.0,109.0,9507
-626,2023-01-04,73,35.153,NLane2,87.0,37.0,32.0,23.0,45.0,129.0,353.0,408.0,480.0,427.0,460.0,543.0,646.0,652.0,749.0,1072.0,1237.0,1293.0,1263.0,786.0,571.0,388.0,275.0,152.0,12108
-626,2023-01-04,73,35.153,PLane1,23.0,7.0,22.0,24.0,57.0,211.0,403.0,838.0,585.0,410.0,342.0,337.0,346.0,333.0,397.0,403.0,444.0,459.0,279.0,201.0,149.0,93.0,51.0,29.0,6443
-626,2023-01-04,73,35.153,PLane2,36.0,18.0,45.0,81.0,271.0,703.0,1149.0,1415.0,1183.0,859.0,752.0,721.0,775.0,730.0,814.0,837.0,932.0,890.0,577.0,411.0,303.0,193.0,103.0,46.0,13844
-626,2023-01-05,73,35.153,NLane1,65.0,31.0,20.0,7.0,30.0,121.0,303.0,325.0,377.0,315.0,336.0,351.0,455.0,470.0,578.0,854.0,1025.0,1041.0,1023.0,649.0,438.0,348.0,228.0,107.0,9497
-626,2023-01-05,73,35.153,NLane2,92.0,34.0,32.0,20.0,39.0,131.0,361.0,432.0,460.0,434.0,452.0,528.0,643.0,661.0,762.0,1082.0,1301.0,1260.0,1177.0,781.0,530.0,424.0,320.0,126.0,12082
-626,2023-01-05,73,35.153,PLane1,20.0,21.0,14.0,31.0,43.0,174.0,400.0,766.0,624.0,433.0,298.0,358.0,314.0,309.0,401.0,439.0,469.0,445.0,330.0,211.0,159.0,102.0,49.0,26.0,6436
-626,2023-01-05,73,35.153,PLane2,42.0,39.0,35.0,92.0,252.0,693.0,1114.0,1335.0,1100.0,898.0,771.0,737.0,693.0,633.0,812.0,892.0,926.0,941.0,627.0,391.0,308.0,208.0,95.0,52.0,13686
