STATION,DATE,ROUTE,MP,LANE,H0000,H0100,H0200,H0300,H0400,H0500,H0600,H0700,H0800,H0900,H1000,H1100,H1200,H1300,H1400,H1500,H1600,H1700,H1800,H1900,H2000,H2100,H2200,H2300,TOTAL
-675,2023-01-01,92,2.559,NLane1,383,169,82.0,40,33.0,59.0,86.0,93.0,129.0,148.0,239.0,281.0,241.0,296.0,309.0,336.0,327.0,260.0,176.0,140.0,118.0,100,82,26,4153
-675,2023-01-01,92,2.559,PLane1,198,217,93.0,46,14.0,27.0,23.0,35.0,58.0,66.0,89.0,116.0,128.0,166.0,227.0,300.0,300.0,251.0,166.0,144.0,89.0,75,61,43,2932
-675,2023-01-02,92,2.559,NLane1,20,11,9.0,8,29.0,78.0,170.0,225.0,312.0,372.0,451.0,547.0,662.0,655.0,630.0,675.0,338.0,301.0,364.0,348.0,254.0,160,119,48,6786
-675,2023-01-02,92,2.559,PLane1,22,11,9.0,10,9.0,42.0,49.0,90.0,155.0,173.0,232.0,286.0,333.0,447.0,505.0,543.0,479.0,414.0,253.0,465.0,274.0,226,153,68,5248
-675,2023-01-03,92,2.559,NLane1,24,7,14.0,19,41.0,191.0,437.0,775.0,1003.0,778.0,656.0,638.0,747.0,633.0,655.0,895.0,873.0,971.0,708.0,438.0,372.0,223,143,77,11318
-675,2023-01-03,92,2.559,PLane1,48,16,10.0,13,14.0,95.0,125.0,344.0,410.0,362.0,313.0,341.0,408.0,460.0,575.0,732.0,894.0,1038.0,782.0,445.0,407.0,313,356,119,8620
-675,2023-01-04,92,2.559,NLane1,53,20,15.0,26,74.0,245.0,577.0,1050.0,1192.0,924.0,776.0,809.0,882.0,763.0,728.0,900.0,943.0,972.0,748.0,494.0,332.0,247,135,72,12977
-675,2023-01-04,92,2.559,PLane1,63,40,14.0,17,26.0,124.0,148.0,460.0,463.0,393.0,373.0,435.0,473.0,485.0,622.0,756.0,812.0,1016.0,902.0,593.0,408.0,326,207,128,9284
-675,2023-01-05,92,2.559,NLane1,47,14,16.0,19,78.0,243.0,581.0,1067.0,1213.0,923.0,779.0,789.0,841.0,689.0,776.0,972.0,908.0,946.0,730.0,488.0,352.0,278,145,71,12965
-675,2023-01-05,92,2.559,PLane1,58,36,23.0,16,31.0,117.0,149.0,463.0,482.0,413.0,353.0,388.0,454.0,520.0,635.0,789.0,898.0,1054.0,883.0,523.0,393.0,327,227,103,9335
-675,2023-01-06,92,2.559,NLane1,37,18,15.0,16,62.0,178.0,465.0,832.0,1005.0,804.0,672.0,813.0,797.0,747.0,730.0,910.0,962.0,1040.0,914.0,493.0,361.0,318,216,144,12549
-675,2023-01-06,92,2.559,PLane1,70,36,14.0,14,17.0,90.0,126.0,359.0,409.0,377.0,341.0,405.0,484.0,532.0,649.0,808.0,796.0,912.0,749.0,554.0,472.0,461,320,163,9158
-675,2023-01-07,92,2.559,NLane1,87,37,15.0,15,31.0,93.0,234.0,361.0,491.0,676.0,762.0,851.0,984.0,891.0,809.0,885.0,903.0,1059.0,883.0,505.0,395.0,337,245,156,11705
-675,2023-01-07,92,2.559,PLane1,124,68,27.0,10,22.0,54.0,66.0,135.0,226.0,322.0,388.0,427.0,478.0,558.0,620.0,668.0,701.0,659.0,625.0,530.0,477.0,400,301,169,8055
-675,2023-01-08,92,2.559,NLane1,93,30,31.0,15,29.0,65.0,142.0,135.0,210.0,237.0,338.0,381.0,434.0,466.0,510.0,536.0,609.0,497.0,516.0,593.0,498.0,275,148,86,6874
-675,2023-01-08,92,2.559,PLane1,133,65,40.0,14,17.0,42.0,41.0,46.0,90.0,130.0,150.0,227.0,243.0,343.0,381.0,486.0,469.0,583.0,392.0,333.0,332.0,213,147,70,4987
-675,2023-01-09,92,2.559,NLane1,34,13,16.0,17,73.0,270.0,581.0,1071.0,1146.0,947.0,660.0,715.0,695.0,696.0,659.0,844.0,868.0,812.0,607.0,430.0,312.0,193,108,68,11835
-675,2023-01-09,92,2.559,PLane1,51,18,11.0,6,18.0,127.0,148.0,449.0,472.0,375.0,355.0,364.0,425.0,457.0,599.0,715.0,798.0,991.0,837.0,467.0,404.0,293,156,97,8633
