STATION,DATE,ROUTE,MP,LANE,H0000,H0100,H0200,H0300,H0400,H0500,H0600,H0700,H0800,H0900,H1000,H1100,H1200,H1300,H1400,H1500,H1600,H1700,H1800,H1900,H2000,H2100,H2200,H2300,TOTAL
-643,2023-01-04,2932,1.6,NLane1,,,,,,,,,,,228,379,472,425,404,284,449,520,370,269,190,127,57,28,4202
-643,2023-01-04,2932,1.6,PLane1,,,,,,,,,,,200,379,411,428,463,293,450,522,412,292,233,147,88,39,4357
-643,2023-01-04,2932,1.6,PLane2,,,,,,,,,,,12,8,31,18,12,13,24,12,15,9,6,3,0,1,164
-643,2023-01-05,2932,1.6,NLane1,19.0,5.0,9.0,15.0,11.0,48.0,94.0,311.0,358.0,319.0,289,337,380,314,442,519,536,530,407,268,178,128,55,26,5598
-643,2023-01-05,2932,1.6,PLane1,26.0,10.0,7.0,5.0,16.0,76.0,81.0,382.0,309.0,240.0,268,328,338,361,432,485,490,534,387,300,250,179,73,36,5613
-643,2023-01-05,2932,1.6,PLane2,2.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,16.0,26.0,19,20,18,21,18,17,14,5,6,1,1,1,0,0,197
-643,2023-01-07,2932,1.6,NLane1,28.0,8.0,12.0,7.0,8.0,27.0,46.0,89.0,150.0,300.0,356,417,412,466,403,427,442,425,396,258,224,157,123,75,5256
-643,2023-01-07,2932,1.6,PLane1,45.0,18.0,11.0,6.0,8.0,17.0,28.0,79.0,122.0,201.0,307,361,434,433,424,433,466,603,492,310,252,203,136,105,5494
-643,2023-01-07,2932,1.6,PLane2,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,8.0,5.0,8,20,9,15,7,8,11,6,15,4,7,1,5,1,135
-643,2023-01-12,2932,1.6,NLane1,13.0,10.0,6.0,12.0,8.0,55.0,102.0,304.0,342.0,347.0,288,375,397,335,417,506,544,609,464,288,205,145,71,51,5894
-643,2023-01-12,2932,1.6,PLane1,12.0,7.0,3.0,5.0,26.0,75.0,88.0,366.0,297.0,257.0,239,335,367,358,451,452,477,530,419,318,267,184,163,59,5755
-643,2023-01-12,2932,1.6,PLane2,1.0,2.0,0.0,0.0,0.0,1.0,6.0,3.0,8.0,10.0,15,8,9,4,21,12,8,5,13,3,0,2,1,5,137
-643,2023-01-13,2932,1.6,NLane1,21.0,21.0,9.0,7.0,14.0,42.0,99.0,204.0,278.0,281.0,326,414,390,385,413,458,473,482,369,275,179,150,106,84,5480
-643,2023-01-13,2932,1.6,PLane1,28.0,12.0,9.0,5.0,18.0,62.0,78.0,202.0,285.0,246.0,300,315,399,390,407,443,448,482,450,316,276,192,150,112,5625
-643,2023-01-13,2932,1.6,PLane2,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,8.0,8.0,9,5,11,12,8,13,25,8,9,8,0,3,2,2,140
-643,2023-01-14,2932,1.6,NLane1,40.0,14.0,17.0,13.0,7.0,22.0,48.0,99.0,169.0,298.0,333,351,423,436,389,405,396,479,340,243,181,134,101,79,5017
-643,2023-01-14,2932,1.6,PLane1,52.0,9.0,15.0,3.0,13.0,30.0,35.0,86.0,128.0,238.0,341,346,363,414,472,411,391,431,367,293,228,183,149,94,5092
-643,2023-01-14,2932,1.6,PLane2,1.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,7.0,5.0,11,9,17,18,9,10,8,8,11,3,2,1,1,0,130
-643,2023-01-18,2932,1.6,NLane1,23.0,8.0,7.0,8.0,15.0,45.0,107.0,269.0,350.0,360.0,319,356,467,402,364,507,473,546,392,285,174,119,61,28,5685
-643,2023-01-18,2932,1.6,PLane1,15.0,11.0,4.0,6.0,13.0,77.0,90.0,359.0,304.0,273.0,281,389,402,355,431,445,512,531,409,297,237,160,87,31,5719
-643,2023-01-18,2932,1.6,PLane2,1.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,10.0,8.0,9,20,12,11,10,7,8,11,9,8,2,2,2,0,144
-643,2023-01-20,2932,1.6,NLane1,18.0,19.0,3.0,12.0,10.0,53.0,118.0,258.0,330.0,312.0,322,364,457,336,474,453,461,495,402,307,187,124,111,70,5696
