STATION,DATE,ROUTE,MP,LANE,H0000,H0100,H0200,H0300,H0400,H0500,H0600,H0700,H0800,H0900,H1000,H1100,H1200,H1300,H1400,H1500,H1600,H1700,H1800,H1900,H2000,H2100,H2200,H2300,TOTAL
-662,2023-01-01,2878,4.413,NLane1,223.0,157.0,70.0,22.0,25.0,15.0,17.0,21.0,57.0,71.0,108.0,203.0,202.0,183.0,170.0,164.0,192.0,171.0,177.0,163.0,112.0,97.0,75.0,61.0,2756
-662,2023-01-01,2878,4.413,PLane1,251.0,98.0,47.0,26.0,13.0,31.0,32.0,38.0,62.0,95.0,175.0,130.0,143.0,184.0,168.0,210.0,181.0,162.0,122.0,110.0,87.0,63.0,59.0,36.0,2523
-662,2023-01-02,2878,4.413,NLane1,41.0,25.0,5.0,8.0,6.0,16.0,41.0,73.0,101.0,135.0,170.0,194.0,227.0,293.0,352.0,365.0,312.0,324.0,250.0,272.0,220.0,163.0,105.0,55.0,3753
-662,2023-01-02,2878,4.413,PLane1,22.0,12.0,10.0,11.0,18.0,53.0,100.0,129.0,171.0,172.0,220.0,311.0,305.0,303.0,312.0,310.0,270.0,264.0,235.0,160.0,130.0,93.0,72.0,36.0,3719
-662,2023-01-03,2878,4.413,NLane1,37.0,12.0,11.0,13.0,12.0,49.0,79.0,256.0,332.0,262.0,222.0,241.0,294.0,288.0,455.0,500.0,662.0,614.0,547.0,338.0,292.0,213.0,176.0,80.0,5985
-662,2023-01-03,2878,4.413,PLane1,21.0,7.0,7.0,16.0,33.0,173.0,348.0,524.0,589.0,409.0,283.0,291.0,309.0,262.0,329.0,465.0,436.0,399.0,358.0,217.0,179.0,123.0,74.0,31.0,5883
-662,2023-01-04,2878,4.413,NLane1,55.0,20.0,16.0,16.0,20.0,24.0,86.0,263.0,314.0,284.0,199.0,263.0,432.0,312.0,416.0,516.0,638.0,645.0,588.0,369.0,279.0,215.0,153.0,64.0,6187
-662,2023-01-04,2878,4.413,PLane1,20.0,14.0,8.0,14.0,36.0,156.0,373.0,603.0,625.0,374.0,303.0,335.0,383.0,300.0,309.0,449.0,400.0,383.0,339.0,237.0,164.0,90.0,79.0,52.0,6046
-662,2023-01-05,2878,4.413,NLane1,49.0,19.0,18.0,13.0,16.0,37.0,108.0,287.0,317.0,296.0,238.0,260.0,324.0,324.0,492.0,534.0,653.0,669.0,552.0,372.0,283.0,249.0,155.0,72.0,6337
-662,2023-01-05,2878,4.413,PLane1,19.0,19.0,8.0,9.0,38.0,162.0,341.0,582.0,600.0,444.0,293.0,340.0,331.0,258.0,395.0,461.0,422.0,397.0,354.0,226.0,202.0,127.0,89.0,38.0,6155
-662,2023-01-06,2878,4.413,NLane1,47.0,21.0,14.0,15.0,13.0,24.0,87.0,275.0,309.0,272.0,224.0,284.0,381.0,362.0,501.0,479.0,643.0,657.0,565.0,394.0,322.0,246.0,228.0,146.0,6509
-662,2023-01-06,2878,4.413,PLane1,16.0,13.0,10.0,19.0,31.0,156.0,284.0,544.0,532.0,361.0,320.0,306.0,404.0,300.0,335.0,434.0,435.0,506.0,415.0,233.0,197.0,152.0,113.0,95.0,6211
-662,2023-01-07,2878,4.413,NLane1,61.0,46.0,15.0,11.0,11.0,24.0,32.0,76.0,133.0,186.0,204.0,296.0,358.0,366.0,381.0,406.0,457.0,449.0,417.0,347.0,317.0,279.0,230.0,150.0,5252
-662,2023-01-07,2878,4.413,PLane1,51.0,22.0,14.0,9.0,16.0,55.0,100.0,165.0,209.0,290.0,396.0,397.0,404.0,400.0,432.0,397.0,418.0,516.0,338.0,247.0,160.0,164.0,121.0,98.0,5419
-662,2023-01-08,2878,4.413,NLane1,77.0,40.0,32.0,21.0,12.0,11.0,26.0,40.0,93.0,97.0,148.0,235.0,264.0,272.0,234.0,266.0,287.0,305.0,264.0,249.0,203.0,140.0,76.0,65.0,3457
-662,2023-01-08,2878,4.413,PLane1,42.0,20.0,17.0,13.0,18.0,33.0,51.0,59.0,115.0,132.0,243.0,248.0,223.0,286.0,267.0,320.0,301.0,226.0,205.0,212.0,148.0,99.0,59.0,26.0,3363
-662,2023-01-09,2878,4.413,NLane1,24.0,10.0,10.0,6.0,14.0,21.0,105.0,283.0,310.0,280.0,217.0,240.0,270.0,281.0,471.0,540.0,601.0,662.0,582.0,318.0,273.0,196.0,124.0,47.0,5885
