STATION,DATE,ROUTE,MP,LANE,H0000,H0100,H0200,H0300,H0400,H0500,H0600,H0700,H0800,H0900,H1000,H1100,H1200,H1300,H1400,H1500,H1600,H1700,H1800,H1900,H2000,H2100,H2200,H2300,TOTAL
-632,2023-01-01,145,5.555,NLane1,91.0,68.0,20.0,8.0,8.0,5.0,6.0,10.0,18.0,13.0,38.0,53.0,83.0,86.0,102.0,97.0,118.0,75.0,47.0,59.0,51.0,29.0,20.0,15.0,1120
-632,2023-01-01,145,5.555,NLane2,337.0,267.0,123.0,67.0,49.0,36.0,43.0,41.0,84.0,139.0,237.0,261.0,334.0,367.0,353.0,410.0,418.0,376.0,333.0,310.0,272.0,213.0,134.0,87.0,5291
-632,2023-01-01,145,5.555,NLane3,264.0,216.0,107.0,46.0,25.0,19.0,32.0,35.0,72.0,96.0,199.0,251.0,271.0,378.0,321.0,352.0,406.0,338.0,321.0,297.0,234.0,162.0,106.0,66.0,4614
-632,2023-01-01,145,5.555,PLane1,427.0,219.0,76.0,37.0,33.0,46.0,42.0,63.0,126.0,158.0,217.0,236.0,244.0,272.0,299.0,371.0,381.0,226.0,313.0,209.0,192.0,151.0,107.0,63.0,4508
-632,2023-01-01,145,5.555,PLane2,292.0,169.0,96.0,68.0,29.0,41.0,25.0,43.0,81.0,103.0,133.0,170.0,186.0,241.0,237.0,287.0,278.0,304.0,67.0,150.0,162.0,136.0,82.0,70.0,3450
-632,2023-01-01,145,5.555,PLane3,231.0,103.0,47.0,21.0,15.0,27.0,31.0,45.0,65.0,115.0,187.0,212.0,251.0,256.0,269.0,283.0,295.0,260.0,185.0,137.0,100.0,82.0,44.0,29.0,3290
-632,2023-01-02,145,5.555,NLane1,6.0,1.0,0.0,0.0,1.0,2.0,7.0,19.0,37.0,57.0,72.0,117.0,141.0,185.0,222.0,219.0,233.0,203.0,161.0,151.0,109.0,84.0,31.0,16.0,2074
-632,2023-01-02,145,5.555,NLane2,71.0,40.0,23.0,18.0,17.0,37.0,84.0,156.0,209.0,252.0,338.0,435.0,494.0,618.0,690.0,729.0,673.0,650.0,559.0,572.0,419.0,318.0,200.0,136.0,7738
-632,2023-01-02,145,5.555,NLane3,48.0,25.0,13.0,20.0,24.0,20.0,68.0,116.0,147.0,264.0,317.0,397.0,469.0,565.0,659.0,636.0,645.0,579.0,491.0,498.0,343.0,318.0,170.0,91.0,6923
-632,2023-01-02,145,5.555,PLane1,26.0,15.0,18.0,15.0,31.0,96.0,146.0,236.0,246.0,339.0,391.0,433.0,457.0,492.0,464.0,444.0,416.0,391.0,313.0,248.0,189.0,145.0,113.0,53.0,5717
