STATION,DATE,ROUTE,MP,LANE,H0000,H0100,H0200,H0300,H0400,H0500,H0600,H0700,H0800,H0900,H1000,H1100,H1200,H1300,H1400,H1500,H1600,H1700,H1800,H1900,H2000,H2100,H2200,H2300,TOTAL
-601,2023-01-02,92,7.873,NLane1,2.0,1.0,0.0,3.0,8.0,0.0,1.0,3.0,10.0,13.0,35.0,65.0,72.0,158.0,140.0,123.0,124.0,119.0,31.0,18.0,6.0,11.0,6.0,3.0,952
-601,2023-01-02,92,7.873,PLane1,2.0,0.0,2.0,0.0,0.0,2.0,5.0,20.0,36.0,55.0,100.0,105.0,134.0,129.0,123.0,107.0,61.0,26.0,12.0,9.0,8.0,4.0,2.0,2.0,944
-601,2023-01-03,92,7.873,NLane1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,14.0,20.0,24.0,35.0,34.0,39.0,47.0,63.0,19.0,10.0,9.0,12.0,10.0,8.0,356
-601,2023-01-03,92,7.873,PLane1,1.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,7.0,21.0,18.0,26.0,29.0,40.0,35.0,40.0,58.0,12.0,10.0,16.0,12.0,5.0,13.0,6.0,358
-601,2023-01-04,92,7.873,NLane1,9.0,1.0,5.0,3.0,0.0,0.0,1.0,4.0,11.0,19.0,20.0,30.0,29.0,53.0,47.0,60.0,68.0,65.0,25.0,21.0,31.0,12.0,21.0,11.0,546
-601,2023-01-04,92,7.873,PLane1,3.0,5.0,3.0,0.0,0.0,1.0,5.0,12.0,31.0,28.0,29.0,37.0,36.0,61.0,63.0,64.0,47.0,25.0,6.0,35.0,21.0,14.0,16.0,3.0,545
-601,2023-01-05,92,7.873,NLane1,5.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,15.0,17.0,33.0,28.0,37.0,32.0,43.0,48.0,41.0,60.0,15.0,15.0,13.0,8.0,8.0,7.0,437
-601,2023-01-05,92,7.873,PLane1,3.0,2.0,1.0,0.0,0.0,3.0,6.0,14.0,32.0,36.0,33.0,36.0,33.0,43.0,40.0,46.0,40.0,19.0,9.0,15.0,9.0,6.0,5.0,8.0,439
-601,2023-01-07,92,7.873,NLane1,9.0,4.0,2.0,2.0,0.0,1.0,2.0,8.0,14.0,29.0,56.0,97.0,124.0,132.0,152.0,195.0,319.0,194.0,56.0,27.0,41.0,41.0,23.0,29.0,1557
-601,2023-01-07,92,7.873,PLane1,3.0,1.0,1.0,1.0,1.0,3.0,25.0,55.0,70.0,73.0,114.0,131.0,126.0,165.0,207.0,213.0,131.0,56.0,29.0,35.0,41.0,34.0,16.0,14.0,1545
