STATION,DATE,ROUTE,MP,LANE,H0000,H0100,H0200,H0300,H0400,H0500,H0600,H0700,H0800,H0900,H1000,H1100,H1200,H1300,H1400,H1500,H1600,H1700,H1800,H1900,H2000,H2100,H2200,H2300,TOTAL
-656,2023-01-03,129,5.369,NLane1,,,,,,,,,,,,,195.0,389.0,386.0,469.0,445.0,432.0,380.0,267.0,215.0,132.0,96.0,36.0,3442
-656,2023-01-03,129,5.369,NLane2,,,,,,,,,,,,,196.0,392.0,516.0,600.0,496.0,481.0,410.0,302.0,213.0,154.0,100.0,56.0,3916
-656,2023-01-03,129,5.369,NLane3,,,,,,,,,,,,,0.0,2.0,7.0,12.0,6.0,7.0,3.0,2.0,0.0,1.0,0.0,1.0,41
-656,2023-01-03,129,5.369,PLane1,,,,,,,,,,,,,172.0,379.0,496.0,594.0,533.0,575.0,480.0,352.0,272.0,213.0,131.0,56.0,4253
-656,2023-01-03,129,5.369,PLane2,,,,,,,,,,,,,157.0,339.0,460.0,556.0,498.0,610.0,445.0,308.0,259.0,213.0,117.0,61.0,4023
-656,2023-01-17,129,5.369,NLane1,13.0,7.0,7.0,12.0,4.0,,,,,,,,,,,,,,,,,,,,43
-656,2023-01-17,129,5.369,NLane2,26.0,13.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,56
-656,2023-01-17,129,5.369,NLane3,0.0,1.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,6
-656,2023-01-17,129,5.369,PLane1,27.0,7.0,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,43
-656,2023-01-17,129,5.369,PLane2,30.0,9.0,14.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,72
-656,2023-01-18,129,5.369,NLane1,,,,,,,,,,,236.0,378.0,448.0,387.0,397.0,440.0,448.0,492.0,380.0,263.0,185.0,142.0,88.0,30.0,4314
-656,2023-01-18,129,5.369,NLane2,,,,,,,,,,,278.0,422.0,537.0,479.0,474.0,574.0,491.0,548.0,415.0,299.0,211.0,163.0,103.0,42.0,5036
-656,2023-01-18,129,5.369,NLane3,,,,,,,,,,,4.0,5.0,7.0,5.0,7.0,10.0,3.0,7.0,4.0,3.0,1.0,2.0,2.0,0.0,60
-656,2023-01-18,129,5.369,PLane1,,,,,,,,,,,237.0,418.0,473.0,418.0,459.0,601.0,541.0,598.0,475.0,334.0,290.0,235.0,140.0,63.0,5282
-656,2023-01-18,129,5.369,PLane2,,,,,,,,,,,213.0,385.0,421.0,414.0,436.0,565.0,517.0,605.0,512.0,299.0,261.0,239.0,157.0,51.0,5075
-656,2023-01-20,129,5.369,NLane1,,,,,,,,,,,,,,277.0,396.0,467.0,462.0,441.0,444.0,271.0,220.0,274.0,153.0,74.0,3479
